kabupaten,Rumah Sakit,Puskesmas,SD,SMP,SMU,Penduduk SD (7-12),Penduduk SMP (13-15),Penduduk SMU (16-18),Pasar,Panjang Jalan,Luas Wilayah,Masjid,Gereja Kristen,Gereja Katolik,Pura,Vihara/Klenteng,Islam ,Kristen,Katolik  ,   Hindu       ,Budha  ,jumlah_penduduk
KABUPATEN BANDUNG,17,62,1357,379,269,412075,205378,158665,30,1387,1767.96,4886,11,3,1,0,3634635,51376,17865,582,3289,3783210
KABUPATEN BANDUNG BARAT,12,32,714,215,169,198813,95589,72675,16,661,1305.77,2943,66,3,1,12,1797839,21073,6568,362,619,1907820
KABUPATEN BEKASI,55,51,1118,449,331,348400,167876,121755,58,1013,1224.88,1310,19,10,0,10,2995614,106406,28846,1857,14168,3303020
KABUPATEN BOGOR,31,101,1857,779,625,615827,293677,214036,78,1963,2710.62,4388,62,15,5,37,5320795,94117,30268,2496,17307,5721620
KABUPATEN CIAMIS,6,37,744,138,102,117377,60106,60189,52,974,1414.71,3001,7,2,0,1,1265683,1469,441,10,43,1266330
KABUPATEN CIANJUR,7,47,1244,463,299,286679,135020,85264,78,1734,3840.16,4825,21,6,1,5,2490949,10589,2767,129,1928,2610320
KABUPATEN CIREBON,13,60,831,228,162,237954,111391,88798,31,1414,984.52,723,12,6,0,5,2400562,7401,2720,74,499,2413810
KABUPATEN GARUT,9,67,1546,430,315,313462,156871,96397,65,1211,3074.07,4599,3,4,0,1,2753563,4117,1160,32,311,2748700
KABUPATEN INDRAMAYU,12,49,869,221,192,192751,90514,76973,38,1089,2040.11,698,16,6,0,3,1906808,4301,1269,70,329,1932520
KABUPATEN KARAWANG,26,50,981,226,174,261802,115322,87542,33,2068,1652.2,1584,23,5,2,5,2460620,34392,8326,466,5795,2581250
KABUPATEN KUNINGAN,12,37,658,125,77,120152,60598,46112,32,924,1110.56,792,6,10,0,1,1209679,2455,5571,9,151,1225490
KABUPATEN MAJALENGKA,6,32,672,131,77,130905,63894,48464,48,1084,1204.24,1001,10,4,0,3,1335391,3822,615,36,118,1363760
KABUPATEN PANGANDARAN,1,15,288,56,40,39883,20286,17225,28,589,1010,872,60,0,14,1,436359,314,60,0,14,436490
KABUPATEN PURWAKARTA,11,20,425,125,92,113351,53280,38555,16,843,825.74,1016,8,4,1,0,1010154,8021,2164,145,502,1062970
KABUPATEN SUBANG,11,40,872,179,165,159451,77635,59168,37,1247,1893.95,1679,15,6,0,1,1609035,7036,1797,47,425,1675520
KABUPATEN SUKABUMI,9,58,1217,398,268,300498,144360,99826,95,1792,4145.7,4915,7,1,0,0,2753765,6050,1887,58,720,2852110
KABUPATEN SUMEDANG,5,35,617,136,121,114193,56819,48818,45,953,1518.33,2184,7,2,2,0,1182133,4580,622,31,227,1195530
KABUPATEN TASIKMALAYA,3,40,1064,313,216,191884,95784,70879,57,1410,2551.19,3603,1,1,0,23,1938930,384,283,10,9,1933810
KOTA BANDUNG,42,80,492,272,259,256901,126416,104045,49,1133,167.67,2447,109,51,2,1,2346818,130944,54279,1616,11037,2548780
KOTA BANJAR,4,10,88,28,20,19678,9731,9536,8,316,113.49,301,6,3,0,10,205688,1516,275,11,22,211960
KOTA BEKASI,48,48,646,308,263,254879,125483,106792,14,335,206.61,715,36,8,2,0,2205045,190198,64356,4065,21946,2648270
KOTA BOGOR,22,25,272,131,160,116730,56141,45400,17,873,118.5,435,16,6,1,3,1040293,42466,21871,1181,7789,1083780
KOTA CIMAHI,8,13,119,50,41,57382,29053,25648,4,119,39.27,168,7,4,0,2,534318,22633,7966,567,864,606380
KOTA CIREBON,10,22,167,57,56,35455,18416,16378,12,175,37.36,722,68,11,2,5,323570,14227,6427,100,2052,347540
KOTA DEPOK,28,38,439,277,207,199406,100128,84927,12,1995,200.29,382,15,4,1,1,1789140,91524,28966,3174,5320,2167960
KOTA SUKABUMI,6,15,128,48,49,37882,18252,15834,8,230,48.25,940,10,4,0,8,345772,7327,3187,39,2518,370680
KOTA TASIKMALAYA,15,22,227,94,82,76055,38048,33189,10,499,171.61,852,77,27,3,0,736057,7942,1865,18,705,759370
